TimeUS,Log,CMDTimeUS,CMDLat,CMDLng,CMDAlt,AcceptRadius,AcceptRatio,AcceptAirspeed,AirspeedRatio,Lat,Lng,RelHomeAlt,Haversine,HaversineFt,dAlt,dAltFt,Dist,DistFt
568756642,Skyhunter A 2,567677228.0,39.9123491,-76.7592216,20.0,28.0,2.0,18.73761,1.494320780505091,39.9123899,-76.7589611,21.14734,22.682772065870022,74.41854590458901,1.1473399999999998,3.7642389655999993,22.711770905585794,74.5136864578821
579299116,Skyhunter A 2,577977246.0,39.9125425,-76.7606646,30.0,28.0,2.0,17.61876,1.5892151320524257,39.9124658,-76.7607947,28.98932,13.999030887896451,45.92858049824619,-1.0106800000000007,-3.315879371200002,14.03546721212653,46.048122248233206
176648693,Skyhunter A 13-2,175346954.0,39.9123902,-76.7592135,20.0,29.0,2.0,20.45075,1.4180409031453616,39.9124092,-76.759066,32.76812,12.759964737750416,41.86340271020108,12.768120000000003,41.89015882080001,18.051082749880525,59.22271432911802
174369699,Skyhunter A 13-2,184346964.0,39.9129869,-76.7589641,30.0,29.0,2.0,21.27241,1.3632681957521502,39.9127518,-76.7589864,27.9975,26.218428687433622,86.01846957487973,-2.0025000000000013,-6.5698821000000045,26.294790531358917,86.26900056690357
196127017,Skyhunter A 13-2,194647983.0,39.9136286,-76.7605841,40.0,29.0,2.0,17.63835,1.6441447187520375,39.913562,-76.7605646,45.22481,7.592177205881865,24.908718664145457,5.224809999999998,17.141765640399992,9.216278764317632,30.23713602112386
204548076,Skyhunter A 13-2,202546975.0,39.912633,-76.7606592,50.0,29.0,2.0,12.8584,2.255335033907796,39.912715,-76.7605998,43.8884,10.433849789247333,34.231791742554215,-6.111600000000003,-20.051181744000008,12.092017035407146,39.67197317044518
212947531,Skyhunter A 13-2,212147022.0,39.9132831,-76.7592537,35.0,29.0,2.0,16.73413,1.7329852224167015,39.9132639,-76.7592445,34.16543,2.275210696997338,7.464602263136746,-0.8345699999999994,-2.738090638799998,2.423446058948107,7.9509387680393075
218108156,Skyhunter A 13-2,216346941.0,39.9130774,-76.7583203,40.0,29.0,2.0,18.79972,1.5425761660280046,39.9130532,-76.758395,40.41413,6.91798077532104,22.69678804690428,0.4141300000000001,1.3586942692000004,6.930365189844725,22.73741932945017
225587575,Skyhunter A 13-2,223747024.0,39.9121639,-76.7587924,45.0,29.0,2.0,14.11502,2.054548983990104,39.912255,-76.7588248,43.16143,10.502981716624989,34.45860253517193,-1.8385699999999967,-6.032053998799991,10.66269030707817,34.98258086707435
233587587,Skyhunter A 13-2,233048144.0,39.9133736,-76.7597044,40.0,29.0,2.0,15.61435,1.8572659124459232,39.9133585,-76.7597441,36.97144,3.7804586525852417,12.403079965747764,-3.028559999999999,-9.936220790399997,4.843969787014222,15.89228983602774
237747497,Skyhunter A 13-2,236147007.0,39.9136286,-76.7605841,40.0,29.0,2.0,18.88407,1.535685898220034,39.913662,-76.7605915,42.07708,3.7682193728006106,12.362924847059157,2.0770800000000023,6.814567147200007,4.302759413207975,14.11666519322925
246608517,Skyhunter A 13-2,244546861.0,39.912633,-76.7606592,50.0,29.0,2.0,11.83168,2.451046681451831,39.9127222,-76.7605987,44.65344,11.183671904743925,36.69183813196005,-5.346559999999997,-17.54120791039999,12.395976004597562,40.669213914923866
254648678,Skyhunter A 13-2,253848016.0,39.9132831,-76.7592537,35.0,29.0,2.0,17.05768,1.7001139662603588,39.9132622,-76.7592389,33.10802,2.6453973328974283,8.679125385663198,-1.8919799999999969,-6.207283663199989,3.2523399836580453,10.67040711198466
259308286,Skyhunter A 13-2,257648114.0,39.9130774,-76.7583203,40.0,29.0,2.0,19.95383,1.4533550701795095,39.9130657,-76.7583489,41.38037,2.76529010172199,9.072474377333576,1.3803699999999992,4.528773110799998,3.0906715586716125,10.139998876552172
266587490,Skyhunter A 13-2,264746997.0,39.9121639,-76.7587924,45.0,29.0,2.0,13.33527,2.174684127130534,39.912237,-76.7588211,46.52988,8.49132366747706,27.85867434120544,1.5298799999999986,5.019291499199995,8.628042097733186,28.307225635926944
275008133,Skyhunter A 13-2,274347027.0,39.9133736,-76.7597044,40.0,29.0,2.0,15.28853,1.8968468518556068,39.9133642,-76.7597337,39.93335,2.7094987814417584,8.889431982105378,-0.0666500000000027,-0.218667986000009,2.7103184073341597,8.892121043518204
279587649,Skyhunter A 13-2,277946912.0,39.9136286,-76.7605841,40.0,29.0,2.0,19.74122,1.469007487885754,39.9136326,-76.7605844,39.76554,0.4456409098506491,1.4620765226744037,-0.2344599999999985,-0.7692257463999953,0.5035546764081471,1.6520823245469054
287947564,Skyhunter A 13-2,285848169.0,39.912633,-76.7606592,50.0,29.0,2.0,14.94582,1.9403418480886296,39.9126974,-76.7606039,47.15517,8.577065781765006,28.1399804994459,-2.8448300000000017,-9.333432057200003,9.036543318859492,29.64745278224698
295587632,Skyhunter A 13-2,294946976.0,39.9132831,-76.7592537,35.0,29.0,2.0,19.8917,1.4578944987105174,39.9132461,-76.7592184,34.28362,5.099570518382961,16.730874939531557,-0.7163800000000009,-2.350328159200003,5.149642684338464,16.895153704485008
300108135,Skyhunter A 13-2,298346995.0,39.9130774,-76.7583203,40.0,29.0,2.0,21.8515,1.3271400132714,39.9130788,-76.7583201,42.12509,0.1566488966187329,0.5139399659826037,2.12509,6.972080275600001,2.13085578698134,6.99099690015986
